sentence,class
lower than a thirty five inch worms for the 36 yard line each day holoband bill ho had aimed to bringing down that was no,0
accident their last minute get rid of the ball deal because taller stood there all the time planta was going to attempt to throw the,0
long ball if it were open but it wasnt and taller was the expected receiver on and he was ready for it that was a,0
gain of eight as a second down two to go for the houston oilers on their 36 three nothing dallas ahead the american football league,0
championship game three minutes 24 seconds left to play in the first period hennigan is spreading way out there the left with a double slot,0
and fuller on the right wing there goes forward motion they give him the ball colors at the 40 and he s up to the,0
45 he may have question here on the floor brought down by dave blazing number 45 the right corner back by the dallas section billy,0
cannon through a great block for him at the line of scrimmage houston on their 44 first down top iv brought the double wing into,0
pro football a few years ago with the cardinals and he has a lot of this wide open the type of offense now theyre back,0
to their standards go time here s cannon broncos on the platform the 45 cannon to the 48 yard line bobby fly number 14 ej,0
holub number 55 at number 56 is walt corey gain of four second down and six houston coming up from your left in the dark,0
jerseys dallas in white two minutes left to play in the first period dallas is ahead three to nothing he s got to be explaining,0
a pass pattern in their kurta they couldnt take this one let s see though there are double wing set up again with hennigan the,0
wide flankers the draw is intended for hennigan incomplete right on him was dave grayson number 45 charley hannigan number 87 of course will be,0
the most dangerous receiver on the houston squad all afternoon and the boy will be the threat for the long bomb third down and six,0
to go isten in possession and trailing free to nothing they are on their double wing again the miniguns plantwide laugh the progress wayne would,0
fortyeight plotting down that is another houston first sound you might have noticed charlie taller standing next to the receiver hennigan right there he s,0
waiting for that hitch lateral and yet hannigan had a little more time before he was clamp hed have gotten it off to charlie youll,0
probably see that a little later they work that pattern twice joe spencer lee assisted houston coach first down for houston now in the dallas,0
40 the double wing setup emotions at the solar he was open and cannon was sifting through he was there at the 30yard line of,0
dallas that couldnt hold on to it on the high pass the climatic second half of the championship game of the eastern college athletic conference,0
holiday festival basketball tournament is going to be featured over the abc tv network knicks saturday night in place to the fight of the week,0
and make that sparrow follows right after the basketball game on abc television the houston oilers on the dallas forty second down ten palace ahead,0
three nothing lana look out for a screen here mr kenan and he s hemmed in by four white judith ballot players led by bill,0
hall a rookie from wait for dj holub of texas second gerry maze of southern methodist no gain on the dallas 40 houston in possession,0
third down and 10 the goal as i mentioned prior to this planet taking a long time in the huddle with a probable pass coming,0
up this is a habit that s hard to break glen has been around as long as any quarterback in the business he still doesnt,0
it s a fault that all quarterback kevin would just to get into this habit of explaining some little thing on a pattern there that,0
was smoky stover reserve linebacker on the phone for the dallas texans on third down lander is firing it is incomplete intended for hennigan you,0
saw any good was crossing to the middle and planning was thrown to the sideline so it is now 1/4 pound and 10 the goal,0
for houston hank stram likes the way things are going right now for his dallas section team washington for houston on the dallas 40 and,0
here s a field goal attempt blanton his chip 1 of 55 yards this year will proof this one from the 47 of dollars of,0
roman holy ronnie robinson backe for the single safety the kick is up oh get off with a laugh that will fit over the french,0
back first down for detection on their own 20yard line they have only nine seconds remaining in the first period thanks graham his third year,0
of coaching eval especially dallas rockville will be dawson a quarterback from the clinton and spikes the beat men with haynes the flanking back our,0
banners and cook till the end pains a flank right the two tight ends in lamotta leaders flooding mr spike just three yards through 23,0
yard line tackled by jim norton the safety man and there s the gun in the end of the first quarter of today s games,0
in houston texas the scores at dallas texans three and the houston oilers nothing three to nothing at the end of the first quarter dallas,0
on top curt goudy and for crispin and jack buck with the captainship of the american football league dallas and white houston in the dark,0
suits and well have a second down seven for dallas on their own 23 james the flanker back out of your picture right now is,0
fights and the bunt and each they give it the spiked weve got the 25 at the 30 territory look like somebody grabs a tell,0
mascara which we look over for it s on the 45 yard line of houston 32 yard game by jack spikes and a penalty going,0
against houston that compares it to the 30yard 29 yard line personal foul grabbing their helmet that s what it was somebody grabbed his helmet,0
and tried to twisting down with it but the force can lead to a very serious neck injury kurt this is generally accidental it s,0
just when a man tackles high but even if your hand hits that mash and gets up you get a finger at you on it,0
it s an automatic penalty in the palace coaching staff the screaming put over there with the sideline official happened to be standing right there,0
and was right in front of it now they had a 33 yard gain in the 15yard penalty on top of the 47 yard pickup,0
on the play basket on first down at the 30 and runs for that sideline and out of bounds on the 28 yard line of,0
houston freddie glick was the man that drove him out a yard gain second down nine to go for dallas on the houston 28th jack,0
spikes have been a key performer today for the dallas texans injured most of the year so far playing his finest game of the season,0
when it counts in the championship game abner haynes ranked wide right the two big pull backs are deep it s a fake the mcclinton,0
boston throwing the hay decided remarkable performers we cant hurt you from any place on the field and 20 who saw him stay in fountains,0
over for the touchdown as the 20th touchdown he scored this year by the way well dallas is now leading 9 to nothing and they,0
score here with 14 33 to go in the first half tommy brooker will attempt the kick dawson is holding and the score at jefferson,0
city in the dallas texans 10 and the houston oiler is nothing in the netting dallas leading they went 80 yards in four plays 28,0
yard touchdown pass of len dawson abner haines donnybrook are kicking off cannon and jams accardi the kick is to bobbie gentry you got it,0
at the sick little can just 20 he was really rocked up there in the 24 yard line by dick davis number 86 and he,0
hit him as hard as you can hit a man well so often these kick return men decide theyre just trying to lower their head,0
and run over a couple of people and every once in a while a tackler makes the same decision and that s when you see,0
those horrendous crashes hap said jen seek their fall number 23 is a little fellow only about 170 75 we will get there by let,0
s begin dick davis first time for houston now on their 25 that double wing set up line on a drought of color so theyre,0
running it up to the 29 yard line of houston picked up by cheryl hedrick the middle linebacker and number 85 the hall and there,0
again you see mr tolar apparently tackled for a four yard loss and he ended up with a game play on a second down six,0
coming for houston either on 29 there s pop ivy they instance lush with a couple of his players to the 30 but firing through,0
a cheryl hedrick again texas christian and walter corey also a linebacker the dallas koechlin dallas was number one in the league on team defense,0
houston led the league in total offense dallas led the league in scoring when dawson the dallas quarterback player of the year in the american,0
football league who s been brilliant so far in this game third down five to go for houston lander firesteel hannigan any was pointing to,0
the sideline for it to say theyre worried about well no he did it the hard way and that he knew he was near the,0
sideline and he dragged both feet as he went across to catch the ball but apparently the official who was right there saw his feet,0
on their chalk mark fourth and five and now in confirmation of jim norton who finished second in the league in funding he averaged 43,0
yards of kick pains and jackson jackson s closer to you after haynes on the far side and the double safety theyre on their own,0
30 yard line remembers kicking against us about a 15 mile an hour wind just kick fights into that wind haines falls for the fair,0
catch in the $31 and at auto sector now have a first down on their 31 theyre out in front 10 to nothing as the,0
ball exchanges hands so fire dallas without plague houston houston shooting for its third straight championship right now trailing 10 to nothing with 12 and,0
a half minutes left to play in the first half all right they got the two fullbacks deep spikes in the clinton the top two,0
strikes bikes to the 34 yard line the 3 yard gain second down 7 for the dallas texans mike dukes on the tackle the right,0
corner man and bill richman or they left tackle for houston in the last three years these teams have played six regular season games and,0
they split three and three dallas is the only club in the american football league to stay even with euston in season series over the,0
first three years of the lead second and seven awesome fading for the 43rd i think in this case it had to go along with,0
the official that was a little late but this what s behind all that is that those quarter backs everybody s gone infarct you can,0
get that big man out of there weve got the game half won i mean legally and he tried to bail him hard dallas first,0
down on the houston 44g 15 our family so far in the game here the signal roughly read born moving in let us say this,0
is a first in a series of these and were going to see a little delay dallas leading 10 to nothing 11 and a half,0
minutes to play in the first half dallas had the first down on the houston 44 there s a faker mcclinton rocking last in the,0
50 45 40 and he goes to the 34 boston has been a depth all year at getting out of the pocket of rushing linemen,0
and picking up yardage he s not overly fast but he s clever picking his way up field doug playing hit him first to slow,0
him up with tony banfield brought him down and that s another first down for the dollar section is so far are completely dominating this,0
game theyve now had seven first down houston five pop id right in the foreground watching his team were able to get going first down,0
at the spikes at the 35 to the 30 the 30 fumble upon the spikes tony bam field number 40 number 33 is jean babb,0
on the tackle and kuch singer also help that scoring of 10nothing dollars came about as tommy bruckner kicked a field goal from the houston,0
16 for 28 to go in the first period and early in the second quarter ballas moves 80 yards and four plays the hanes going,0
on a touchdown pass houston bar first down the kickflip the canon the 2030 got a first down taking the fling fashion george bailey was,0
brought down by johnny robinson who used to be a teammate of billy cannons at louisiana state flower after the blue bonnet ball yesterday we,0
saw got a ball game and then right after the game san diego sign rousso guthrie the consensus allamerican guard of georgia tech man diego,0
s number two draft choices im gonna amend just on walt sweeney their number one choice out of interesting signing by the american football league,0
the last week that he will tell you about some of the great college names in the country third down nine to go houston on,0
their 32 lander intercepted by number 45 dave jason s at the 40 35 30 and down grayson for my ward and dallas now house,0
of all in history territory on the houston twenty nine and bland is going to be kicking himself there there s a man who intercepted,0
grayson in that you saw him stop there and sort of confer with hennigan out on the flanker there was apparently a little bit of,0
a mixup and generally a quarterback a call time out there but he went ahead with the play and that s what usually results when,0
there s a little bit of a misunderstanding in the huddle theyve got frank jackson as a flanker back theyve gone out of there to,0
fullback system give it them a clinton what a hole and open for him is he roars for the twenty three favre carroll and jim,0
tyre were blocking for curtis mcclinton second down four to go for dallas only houston 23 dallas of the head ten to nothing we have,0
six and a half minutes to play in the first half jackson s the flanking back the ends in sight mr haynes pains a shot,0
at the 25 theyll be fenian on abner haynes all day he averaged nearly five yards to carry this pass see he s a marked,0
man every time he gets the ball mike dukes it him first and then head husband came in the home loss to three third down,0
and seven to go there s the dallas bench in there coach hank stram heard gaudium fall chris froome with jack buck again in houston,0
texas dallas leading 17 nothing as houston puts the ball in play on their 49 george blanda tackled by johnny robinson and he plowed the,0
tight end from abilene christian that gives a first down for houston on the dallas 30 he s had pretty good luck on his patterns,0
down the middle all day curt hennig and dropped the last one but he was wide open so planta obviously is sticking with what is,0
the best spot to throw in up to now now houston asking for time as they came up and once again he had a mix,0
up in the huddle there apparently bland and hennigan are not hitting on all six on these past patterns so he called a timeout so,0
he they didnt blow this better than this time bobby ply on the dallas bench number 20 bobby hunt of auburn now branch is 87,0
ready to go now houston ball first down on the dallas 30 landed a cannon at the 30 and out of bounds on the 26,0
yard line dave grace in the right corner man took him out ron zillow was leading the way around the block put it on a,0
27 they say second down and seven houston is not on the scoreboard yet theyre trailing 17 nothing with two minutes 46 seconds to go,0
in the first half and again the plank arrived with two slots back color and motion color on the inside reversed goes to the 24,0
of dallas number 72 is paul rochester and number 75 is gary maze theyre the two big men in the middle of that dallas line,0
they have a third down and five to go houston in possession when they have just 2 minutes and 20 seconds left in the first,0
half to get a score there s the kipling 3 or the collet and complete passive tenant for hennigan you notice every time hennigan cos,0
downfall is being doubleteaming yes they have to cover him that way he has all the moves as i mentioned he s not having a,0
good day with his hands he dropped two passes he should have had i will say this in his favor both passes are a little,0
bit behind the mark but this should be no excuse for a good receiver like hanigan he just one of those things sometimes you drop,0
him and he dropped 2 of 5 and 1/4 pound fourth and five on the dallas 25 a big one for blanda having trouble hanging,0
on to the bolivar good wall with the intended receiver number 88 well houston swept the straw here late in the first half that stop,0
and dallas takes over a first down for dallas on the dallas 25 with dallas out in front 17 to nothing the lack of being,0
able to hold on to the ball has killed two drives for houston up to now and this this of course really changes the quarterbacks,0
thinking because he expects to make that game when a man is open he chose to him when he doesnt youve just seen two drives,0
go to pot theyve got their backfield now jackson on the flank mcclinton haynes deep dawson faking the draw throwing the haines at the 25,0
ever haynes at the 30 and haynes is brought down at the 33 yard line of dallas by doug klein and mike dukes the two,0
linebackers of the houston oilers their twominute warning now is being given to each been a gain of eight for abner haynes second down two,0
to go for the dallas texans are out in front 17 to nothing jackson is the flanker left both have been tight avril haines trying,0
to get outside he stopped with a 34 yard line by bucky wagoner and freddie glick and those victorious missourians are sitting here watching their,0
old teammate bucky wagner who played at missouri just a year ago third down one to go for dallas on the dallas 34 jack spikes,0
down at fullback replacing curtis mcclinton jaxson the flanker theyve got the first down and more filling up to the 39yard line as jack spikes,0
mike dukes brought him down jack spikes of texas christian i wanted if dawson was gonna sit on that 17 point leader go for the,0
throw here and try to get another quick test down before the half and he is throwing but he s throwing the safe type pass,0
all youve seen so far is the screen which is the type of thing that is seldom intercepted let s see if he throws downfield,0
now or just plays it cozy the rest of the half all right paul theyre 45 seconds to go in the half dawson right down,0
the middle and it is complete to spread our banners number 84 the tight end his second year from michigan state university that was quite,0
a catch by him mike dukes haul him in and theyre going to try and stop the clock now it s on the houston 49,0
dallas calling trying to stop the clock well youre seeing many of the stars here today who have made the all american league teams and,0
offense and defense and many of these same stars with other outstanding players of the american football league theyre going to be out in san,0
diego on sunday january 13th for the annual american league football allstar game will be televising that game on abc tv the sleek standout says,0
the leading ground gainer in the league cookie gilchrist the buffalo abner hanes denver broncos star and lionel taylor billy cannon will be seen in,0
action you folks in the san diego area tickets are on sale at convenient locations the american league allstar game telecast on abc television sunday,0
january 13 39 seconds to go in the first half of delos comes up with a first down on the houston 49 penalty marker down,0
he s drawing deep hey incomplete they have a penalty marker down you need a great diving catch on that but it was out of,0
bounds all the way now let s check the penalty 15yarder against dallas this is their first 15yard penalty of the game push the ball,0
on a dallas 35 illegal use of the hands of course houston accept that penalty they want to get that ball out of field goal,0
range were half time here in houston texas the american league football championship game the dallas texans are leading 17 to nothing they were about,0
a one touchdown underdog for the game and that pop ivy now will have to rally his houston club at halftime and get them back,0
in were going down now on the field for special halftime ceremonies and here is jack buck ladies and gentlemen here halftime it is time,0
to present the awards to the player of the year and the rookie of the year in the american football league each of the winners,0
will receive a 1963 s 55 mercury convertible presented by the mercury division lincolnmercury here to do the honors and to introduce the men is,0
the commissioner of the american football league mr joe foss let s welcome mr joe foss thank you the first presentation will be to the,0
rookie of the year curtis mcclinton kirk the next presentation will be do lenny dawson player of the year as far as im concerned this,0
is it well let the ballplayers do that s talking today merry christmas to you all thank you very much go floss the player of,0
the year lenny dawson the rookie of the year curtis mcclinton curt goudy back to you the high school band entertaining should halftime the american,0
football league championship game with a dallas texas leading the houston oilers 17 to nothing were talking about some of the recent signings by the,0
american football league rufus guthrie the georgia tech allamerican guard sighing yesterday under the gold ho after missouri upset georgia tech and they bluebonnet ball,0
he boston patriots who recently signed don mackinnon the allamerican center of dartmouth and yesterday president billy sullivan signed dave watson who bobby dodd has,0
called the greatest blocking guard he s ever coached at georgia tech buffalo signed george same shell american pull back at michigan state therefore heard,0
a german legend saint allamerican center dallas assigned bobby bell a week ago the college lineman of the year the allamerican for minnesota at buddy,0
for michigan state junius the canon of grambling denver sign tommy janek and charlie mitchell they scat back to washington openess im dave cockrum gustaf,0
state of utah we told you about waiting the salesteam as youre watching today is indicative of the opportunity offered these young fellows who sign,0
in the american league the dallas team averages 24 years of age and the rookies have a great chance to make the scene not only,0
an earning power for themselves but a professional football name for themselves and as you might figure from the state of texas the music is,0
giant well there s the top tenant for last year and the year before which right now are in jeopardy of being hauled down unless,0
the houston oilers go to work in the second half as the defending champs are trailing 17 to nothing they dollar sections will be kicking,0
off from your left there and why did you just joined us houston in the dark suits and tommy brooker is teeing up the ball,0
number 81 bobby dancer number 23 billy cannon number 20 in receiving formation here we go dassit pictured on the crew he s up to,0
the 20 25 cities and a 33 yard line with across town by bobby flay number 14 bobby flies has an interesting story does not,0
intercept the past during the season until the last two games of the year and then he intercepted the seven passes there s bobby jam,0
sequel just to ran that kickoff back so let s see what s happening houston now at halftime after going to the clubhouse or out,0
ready to go now first down under 33 duval and hennigan are flank to the left on the double wing set up george blanda is,0
firing cackling where do ball the first pastor that has thought this was a a bland that can go wrong a quarter 1/2 3/4 of,0
the game looked bad and then suddenly come out and kill you particularly when jackie leaves in there they give him a little bit of,0
rest he seems to build up a head of steam and he comes back houston is on ballast 44 first down kahneman motion teller at,0
the bar the party seller to the 39 yard line of dallas tackled by wall corey and jeremy hogan wharton was leading away as he,0
pulled out from his right guard position the block that was a fiveyard gain of second down five to go for houston on the dallas,0
39 we just started the second half with a score 17 to nothing in favor of the ballast section lime is a quarterback cannon number,0
20 seller 44 the deep man hitting in the flanker the plow 81 the tight end duval 88 this play going out with a double,0
slot setup get back to polar the bowling ball five feet six 200 pounds and oilwell firefighter in the offseason drop down for a first,0
down houston on the dallas 27 will follow kurt he s no longer the human bowling ball now he s the human manhole cover that,0
s the latest is tonight now showing their best defenses brush to the game double slot right lander hitting his target george blanda who when,0
he gets hot the veteran time after time was poor distant from behind this year when they were trailing in game first down houston now,0
on the dallas 15 yard line and the houston drive has awakened they shot out houston crowd doublewing set up landa throwing right beige a,0
hall of annette was go dangerous pass was intended for duval and holub nearly picked it off number 55 gallon mr bentley ladies and gentlemen,0
at this game would end up in a tie under american football league rule they would have a three minute the rest period and then,0
would start a suddendeath playoff period and the first team scoring winning that s in case of the pie second down tend to go for,0
houston on the dallas 15 landis pass well go from southern methodist university stores and blame the removed when they went 67 yards a 1,0
2 3 4 5 rick plays george blanda will kick off for houston houston had just scored marching 67 yards deep for dave grayson closest,0
to you and abner haines landis kick against the wind grayson takes it on the stretch to the pen 15 funny our own fumble on,0
the 27 theyre getting up down at the bottom of that file mark arrow ready click went down to make the tackle on the kickoff,0
team for houston if you subscribe now theyve just seen their team score for the first time in the game dallas had a superb first,0
half and this is the first time dallas has had the ball in the second half were on their 26 for the first time the,0
quitman spike to pull back to their mcclinton take the bar out why he number 30 i could writing down vanillite quarterback position here i,0
think it s interesting to note how that little taste of a touchdown their picks up that defensive line the houston defensive line now is,0
like a bunch of tigers in there theyre a little bit flat the first half second down 12 to go for the dallas texans on,0
their 24 at a whistle blown inadvertently that s what raised the huddle up andrew haynes is coming out of the plant with spikes in,0
the princess seat dawson quarterbacking boston the mcclinton the 25 a court running it over the 30 and up to age 32 yard line curtis,0
mcclinton at the gain of 8 they have a third down and four to go on floyd and mike dukes winning that last tackle for,0
houston theyre five minutes john in the third three the score 17 to 7 in favor of dallas aimes coming out as a flanking back,0
our banister split end thirtyfive with a totally marketline flag is down blossom taking the mcclinton up the middle went to he s 36 very,0
close to a first down now theyre conferring i think were gonna see a defensive holding penalty card im not sure though the scores against,0
houston defensive holding automatic first down at this moment mr blanda is thinking of everything i mentioned when he took a long time in the,0
huddle i was generally a pass he took a long time then i moved his hands around like he was explaining a pattern i think,0
hoping to get dallas thinking it was a pass coming up and then he came up with a run second down four for houston and,0
dallas 49 and the motion is taller with the ball went headon at the 47 yard line of dallas by male branch and walked cory,0
cory s 56 branches of the fence ii write in 87 now he had a third down and two third and two produced him on,0
"the dallas 47 a new american football league record for attendance is set today the crowd 37,000 981 they could have sold 60 or 70,000",0
seat during houston today they the room they sold this game out in three hours a week ago charlie hannigan honest lankford and two for,0
houston brothers this stop no game maybe he lost the yard he was slowed down by branch illafford in and then hillary took the final,0
wrap up on him fourth down and three fourth down and three for houston on the dallas 48 frank jackson and abner haynes are dropping,0
back of the flim safety confirmation is jim norton whose average 42 yards of booth martin is angling for the near coffin corner it s,0
a beautiful kick jackson takes it on the sick his motion stopped just short of the five as hart and his beautiful spiral may live,0
in the coffin corner and he had to handle it raus that ball might have gone off fall on a one or two yard line,0
that s right it was a definitely a coffin corner kick critter and i was if it s a seat big bob kelly 256 three,0
make a valiant effort not to hit the ball carrier because he was in there late he didnt want that penalty flag to drop he,0
really did a dance there dallas leading 17 to 7 comes up to their fiveyard line with the first down four minutes 19 seconds to,0
play in the third farrell the whole open for spike he gets about four yards for the 9 yard line of dallas were freddie glick,0
the right safety and bucky went near the left and hit him speaking of not room here today yesterday the county here the city of,0
houston voted on their new dome stadium they both went through and the erection of the stadium will now go ahead a new dome stadium,0
for houston and the houston oilers will play there in the future the clinton stopped at the 10yard line later the 11 without salt pepper,0
and a hustler hitting him in the middle of the line the affair down and for speaking of dorm stadiums boston has just hired an,0
architect to drop the women right plan for a new attractive allah stadium in the city of boston where the stadium went through they put,0
balance forth event for that area would be gray were down and for its mccartney and heroes after the 15 curtis for clinton that climb,0
brought him down very close to the first down and they have the measurement the clinton has been a ball today rushing into that line,0
there is a measurement any part of the ball meeting the inside edge of the yard step first time credit that dallas line was some,0
really great blogging in here i often mention the toughest 10 yards of football the last 10 to the goal line but this is the,0
second toughest 10 down in your own territory because the defense knows you probably wont throw and they like they load up that defensive line,0
"and you really have to root them out to make yardage down here first down dallas under 15,000 13 youre firing deep spike spike number",0
30 was out in the open he was covered two steps behind by bobbie gentry as dawson throws those secondary men with that fake ball,0
he does real welland and incidentally a fine call there he finally got out far enough where he figured he had enough air to get,0
back in throwable dallas texans in the lead 17 to 7 had the ball on their 15yard line second down 10 ranked jacksonville flanking back,0
pains a mcclinton er set deep brought the haines at the 15 20 25 same rut bouncing behind by doug klein at the gain of,0
14 and gives alice another first down there now there you see something that dawson accomplished even with an incomplete pass he shook up that,0
defense a little bit they had to get away from that heavy line down here it went back to a normal defensive line and then,0
he can pop through with that running play dallas has moved this ball from their fiveyard line of the 29 theyre much better operating in,0
field position now they were a few moments ago dawson taking and 78 is at salt pepper boring in the bringing down but he caught,0
his spikes back on the 19 the loss of 10 it is second down and 20 for dallas dark the clock again says leslie born,0
dallas by the way sticking to the clock has been eating it up here and throwing the ball in the last minutes of the third,0
period and with a tenpoint lead the best defense right now is to keep that ball as they come up they have a second down,0
and 20 jackson the flanker wide left pasta hey let s see who gets up in the body if that husband number 82 pain thermal,0
and hisn has a scoring opportunity goosen has scored the only touchdown of the path houston ball first down on the dallas 20 george when,0
brings them up on their double wing setup plaintiff aiding him first down over the head of charlie told number 44 in a quickie second,0
down and 10 the goal for houston on the dallas 20 dallas was ahead 17 to 7 that was completely dominated the first half and,0
houston mark 67 yards early in the first quarter now they havent had a flank dance duvall and hennigan go wide right taller and canada,0
a double wing land of fire 47 johnny rawlinson a louisiana state fails alice out and there is opportunity produces violence in the former halfback,0
from lsu coming off the field when that one back from the two to the 37 and hannigan head of tackling first down for dallas,0
on their own 37 dallas would have been in serious trouble in houston scored down on that opportunity this fires through from his west linebacking,0
position houston s boss second down 10 houston on their 43 land on second down fires did juba george blanda and houston has a first,0
