,sentence,class
21,"I had the terrible misfortune of having to view this ""b-movie"" in it's entirety.All I have to say is--- save your time and money!!! This",0
22,"What an absolutely stunning movie, if you have 2.5 hrs to kill, watch it, you won't regret it, it's too much fun! Rajnikanth carries the",0
23,"First of all, let's get a few things straight here: a) I AM an anime fan- always has been as a matter of fact (I",0
24,This was the worst movie I saw at WorldFest and it also received the least amount of applause afterwards! I can only think it is,0
25,"The Karen Carpenter Story shows a little more about singer Karen Carpenter's complex life. Though it fails in giving accurate facts, and details.Cynthia Gibb (portrays Karen) was not a fine election.",0
26,"""The Cell"" is an exotic masterpiece, a dizzying trip into not only the vast mind of a serial killer, but also into one of a very talented director.",0
27,"This film tried to be too many things all at once: stinging political satire, Hollywood blockbuster, sappy romantic comedy, family values promo...",0
28,This movie was so frustrating. Everything seemed energetic and I was totally prepared to have a good time. I at least thought I'd be able to stand it.,0
29,"'War movie' is a Hollywood genre that has been done and redone so many times that clichéd dialogue, rehashed plot and over-the-top action sequences seem",0
30,"Taut and organically gripping, Edward Dmytryk's Crossfire is a distinctive suspense thriller, an unlikely ""message"" movie using the look and devices of the noir cycle.Bivouacked",0
31,"""Ardh Satya"" is one of the finest film ever made in Indian Cinema.",0
32,"My first exposure to the Templarios & not a good one. I was excited to find this title among the offerings from Anchor Bay Video,",0
33,"One of the most significant quotes from the entire film is pronounced halfway through by the protagonist, the mafia middle-man Titta Di Girolamo, a physically",0
34,"I watched this film not really expecting much, I got it in a pack of 5 films, all of which were pretty terrible in their",0
35,"I bought this film at Blockbuster for $3.00, because it sounded interesting (a bit Ranma-esque, with the idea of someone dragging around a skeleton), because",0
36,The plot is about the death of little children. Hopper is the one who has to investigate the killings.,0
37,"Ever watched a movie that lost the plot? Well, this didn't even really have one to begin with.Where to begin? The achingly tedious scenes of",0
38,"Okay, so this series kind of takes the route of 'here we go again!' Week in, week out David Morse's character helps out his ride",0
39,"After sitting through this pile of dung, my husband and I wondered whether it was actually the product of an experiment to see whether a computer program could produce a movie.",0
40,It had all the clichés of movies of this type and no substance. The plot went nowhere and at the end of the movie I,0
41,"This movie is based on the book, ""A Many Splendored Thing"" by Han Suyin and tackles issues of race relations between Asians and Whites, a",0
42,"Of all the films I have seen, this one, The Rage, has got to be one of the worst yet.",0
43,"I had heard good things about ""States of Grace"" and came in with an open mind.",0
44,"This movie struck home for me. Being 29, I remember the '80's and my father working in a factory.",0
45,"As a disclaimer, I've seen the movie 5-6 times in the last 15 years, and I only just saw the musical this week.",0
46,Protocol is an implausible movie whose only saving grace is that it stars Goldie Hawn along with a good cast of supporting actors.,0
47,"How this film could be classified as Drama, I have no idea. If I were John Voight and Mary Steenburgen, I would be trying to erase this from my CV.",0
48,Preston Sturgis' THE POWER AND THE GLORY was unseen by the public for nearly twenty or thirty years until the late 1990s when it resurfaced and even showed up on television.,0
49,"Average (and surprisingly tame) Fulci giallo which means it's still quite bad by normal standards, but redeemed by its solid build-up and some nice touches",0
50,"Return to the 36th Chamber is one of those classic Kung-Fu movies which Shaw produces back in the 70s and 80s, whose genre is equivalent",0
51,"***SPOILERS*** All too, in real life as well as in the movies, familiar story that happens to many young men who are put in a",0
52,Bela Lugosi appeared in several of these low budget chillers for Monogram Studios in the 1940's and The Corpse Vanishes is one of the better,0
53,"I cannot believe I enjoyed this as much as I did. The anthology stories were better than par, but the linking story and its surprise ending hooked me.",0
54,The 33 percent of the nations nitwits that still support W.,0
55,"As someone has already mentioned on this board, it's very difficult to make a fake documentary.",0
56,The Hills Have Eyes II is what you would expect it to be and nothing more.,0
57,"I laughed all the way through this rotten movie. It's so unbelievable. A woman leaves her husband after many years of marriage, has a breakdown",0
58,"NO SPOILERS!!After Hitchcock's successful first American film, Rebecca based upon Daphne DuMarier's lush novel of gothic romance and intrigue, he returned to some of the",0
59,"I just watched The Dresser this evening, having only seen it once before, about a dozen years ago.It's not a ""big"" movie, and doesn't try",0
60,"What happened? What we have here is basically a solid and plausible premise and with a decent and talented cast, but somewhere the movie loses it.",0
61,"I've just watched Fingersmith, and I'm stunned to see the 8/10 average rating for the show.Not only was the plot was difficult to follow, but",0
62,So let's begin!)))The movie itself is as original as Cronenberg's movies would usually appear...My intention to see it was certainly JJL being one of my favourite actresses.,0
63,"Besides being boring, the scenes were oppressive and dark. The movie tried to portray some kind of moral, but fell flat with its message.",0
64,An unmarried woman named Stella (Bette Midler) gets pregnant by a wealthy man (Stephen Collins).,0
65,"DON'T TORTURE A DUCKLING is one of Fulci's earlier (and honestly, in terms of story-line, better...) films - and although not the typical ""bloodbath"" that",0
66,"Busty beauty Stacie Randall plays PVC clad, bad-ass bitch Alexandra, the faithful acolyte of Faust, an evil entity trapped in hell.",0
67,I really like Salman Kahn so I was really disappointed when I seen this movie. It didn't have much of a plot and what they did have was not that appealing.,0
68,I'm not sure why the producers needed to trade on the name of a somewhat successful movie franchise because the title suggests that it is,0
69,This film laboured along with some of the most predictable story lines and shallow characters ever seen.,0
70,Caddyshack Two is a good movie by itself but compared to the original it cant stack up.,0
71,Honestly - this short film sucks. the dummy used in the necro scene is pretty well made but still phony enough looking to ruin the viewing experience.,0
72,I thought that Mukhsin has been wonderfully written. Its not just about entertainment. There's tonnes of subtle messages that i think Yasmin was trying to bring across.,0
73,I am not a golf fan by any means. On May 26 about 10:30 PM the movie started with a scene in the late 1800's.,0
74,"Upon viewing Tobe Hooper's gem, Crocodile, in 2000, I developed a great interest in the college/crocodile niche of the exploitation/monster genre.",0
75,"It tries to be the epic adventure of the century. And with a cast like Shô Kasugi, Christopher Lee and John-Rhys Davies it really is the perfect B-adventure of all time.",0
76,The Last Hard Men finds James Coburn an outlaw doing a long sentence breaking free from a chain gang.,0
77,"Maybe it was the title, or the trailer (certainly not the interview on the DVD, which is with the director as he keeps saying ""hi,",0
78,The few scenes that actually attempt a depiction of revolutionary struggle resemble a hirsute Boy Scout troop meandering tentatively between swimming holes.,0
79,This film took me by surprise. I make it a habit of finding out as little as possible about films before attending because trailers and reviews provide spoiler after spoiler.,0
80,Stephen Hawkings is a genius. He is the king of geniuses. Watching this movie makes me feel dumb. But it's a great movie.,0
81,"The story is about a psychic woman, Tory, who returns to her hometown and begins reliving her traumatic childhood past (the death of her childhood friend and abusive father).",0
82,"Oh God, I must have seen this when I was only 11 or twelve, (don't ask how) I may have been young, but I wasn't stupid.",0
83,"""Fate"" leads Walter Sparrow to come in possession of a mysterious novel that has eerie similarities and connections to his life, all based around the number 23.",0
84,"We brought this film as a joke for a friend, and could of been our worst joke to play. The film is barely watchable, and the acting is dire.",0
85,This was probably the worst movie i have ever seen in my life!! It was stupid there was no plot and the special affects were,0
86,This is a typical Steele novel production in that two people who have undergone some sort of tragedy manage to get together despite the odds.,0
87,Oh noes one of these attack of the Japanese ghost girl movies... i don't even remember how many i've seen. maybe it sells...,0
88,"Nicholas Walker is Paul, the local town Reverand who's married to Martha (Ally Sheedy), but also is a habitual womanizer and decides to fake his",0
89,Hollywood movie industry is the laziest one in the entire world. It only needs a single hit to flood theaters with the same old crap re-invented over and over again.,0
90,"""Down Periscope"" has been in our library since it first arrived in VHS.",0
91,"If you came here, it's because you've already seen this film and were curious what others had to say about it.I feel for you, I *really* do.",0
92,"Deanna Durbin, Nan Grey and Barbara Read are ""Three Smart Girls"" in this Universal film from 1936, which introduces Deanna Durbin to film audiences.",0
93,"If anyone is wondering why no one makes movies like they used to, with conversation, character and a simple theme of friendship struggling to evolve",0
94,"I watched this series out of curiosity,wanting to see if they could possibly and with ALL this modern technology,out do Cecil B.",0
95,Daniel Day-Lewis is the most versatile actor alive.,0
96,"My guess would be this was originally going to be at least two parts, and thus at least a quarter longer, because otherwise how can one explain its confused, abbreviated storyline.",0
97,"Well, I like to watch bad horror B-Movies, cause I think it's interesting to see stupidity and unability of creators to shoot seriously good movie.",0
98,"This IS the worst movie I have ever seen, as well as, the worst that I will probably EVER see.",0
99,"I have been a Mario fan for as long as I can remember, I have very fond memories of playing Super Mario World as a",0
100,This short film that inspired the soon-to-be full length feature - Spatula Madness - is a hilarious piece that contends against similar cartoons yielding multiple writers.,0
101,"Okay, last night, August 18th, 2004, I had the distinct displeasure of meeting Mr.",0
102,I bought this game on an impulse buy from walmart. I am glad I did. It was very entertaining listening to Sean Connery and playing the game.,0
103,"No, this hilariously horrible 70's made-for-TV horror clinker isn't about a deadly demonically possessed dessert cake.",0
104,"It is easy to tell early in this movie exactly what will happen, and who will die. It is about 4 women and a man who on a vacation.",0
105,"Marion Davies stars in this remarkable comedy ""Show People"" released by MGM in 1928. Davies plays a hick from Savannah, Georgia, who arrives in Hollywood with her father (Dell Henderson).",0
106,The performance of every actor and actress (in the film) are excellently NATURAL which is what movie acting should be; and the directing skill is,0
107,"While Star Trek the Motion Picture was mostly boring, Star Trek The Final Frontier is plain bad.",0
108,"Despite later claims, this early-talkie melodrama has very little in common with ""Citizen Kane"": It's a biopic of a ruthless but human fictional plutocrat, told in flashback but hopping around time.",0
109,This is the best version (so far) that you will see and the most true to the Bronte work.,0
110,"Apparently, the people that wrote the back of the box did not bother to watch this so-called ""movie."" They described ""blindingly choreographed intrigue and violence.""",0
111,"I liked Boyle's performance, but that's about the only positive thing I can say. Everything was overdone to the point of absurdity.",0
112,It's terrific when a funny movie doesn't make smile you. What a pity!! This film is very boring and so long. It's simply painfull.,0
113,"So well made, no CGI crap. Has anyone else been on the ""Jumping Crocs"" tour of Darwin's Adelaide River before? Black Water was WAY realistic;",0
114,"The Assignment is an outstanding thriller with several plot twists driven by character, rather than star turns, the need to stage special effects, obligatory romance, and endless car chases.",0
115,this is one of the finest movies i have ever seen....the stark scenery...the isolation...the ignorant bigoted people hiding behind their religion...a backdrop for some wordliness,0
116,"Set in the 1794, the second year of the French republic formed after the execution of Louis XVI, this film portrays the power struggle between",0
117,Usually I'm a bit of a fan of the bad eighties & early nineties film featuring now has beens...but this film is so incredibly terrible,0
118,"I have now seen quite a few films by Pedro Almodóvar, but this would have to be the most disappointing so far.",0
119,"I greatly enjoyed Margaret Atwood's novel 'The Robber Bride', and I was thrilled to see there was a movie version.",0
120,this movie gets a 10 because there is a lot of gore in it.who cares about the plot or the acting.this is an Italian horror,0
121,"Ingrid Bergman, playing dentist Walter Matthau's faithful receptionist who harbors a little crush on her boss, is absolutely wonderful in this film.",0
122,"""A bored television director is introduced to the black arts and astral projection by his girlfriend.",0
123,"Ah yes the 1980s , a time of Reaganomics and Sly , Chuck and a host of other action stars hiding in a remote jungle blowing away commies .",0
124,"This tale based on two Edgar Allen Poe pieces (""The Fall of the House of Usher"", ""Dance of Death"" (poem) ) is actually quite creepy from beginning to end.",0
125,I am so happy and surprised that there is so much interest in this movie! Jack Frost was my introduction into the films produced and,0
126,"""Revolt of the Zombies"" proves that having the same director revamp and recycle an idea doesn't necessarily make lightning strike twice.The Halperin brothers, responsible for",0
127,"The complaints are valid, to me the biggest problem is that this soap opera is too aimed for women.",0
128,"This movie was one of the best movies that I have seen this year. I didn't see any cameos in the movie, but it is still pretty good.",0
129,I remember seeing this film in the mid 80's thought it a well paced and well acted piece.,0
130,Two hours ago I was watching this brilliant movie which overwhelmed me with its imprisoning photography. It is quite understandable how it won the prize of Best Camera in Cannes 2000.,0
131,Luckily for Bill Murray this is such a light-weight project since he pretty much has to carry it.,0
132,"""The Danish Bladerunner"" is boldly stated on the box. Are you kidding me?! This film is a complete drag.",0
133,This movie shows a clip of live animal mutilation of an animal getting hacked by a machete and getting its skin ripped off.,0
134,"Anyone who thinks Kool Moe Dee, Carol Alt, and Corey Feldman comprise a list of good actors must be smoking something I'd love to try sometime.",0
135,"This film could have been a decent re-make, and gosh knows it tried (or Ms. English tried).",0
136,"I find it very intriguing that Lee Radziwill, Jackie Kennedy's sister and the cousin of these women, would encourage the Maysles' to make ""Big Edie""",0
137,C'mon guys some previous reviewers have nearly written a novel commenting on this episode.,0
138,"I just watched this movie on it's premier night out of curiosity and sheer nostalgia. I liked (not loved) ""Mork & Mindy"" as a kid,",0
139,"I caught this film on AZN on cable. It sounded like it would be a good film, a Japanese ""Green Card"".",0
140,"Before I begin, let me get something off my chest: I'm a huge fan of John Eyres' first film PROJECT: SHADOWCHASER.",0
141,Ye Lou's film Purple Butterfly pits a secret organization (Purple Butterfly) against the Japanese forces in war torn Shanghai.,0
142,"After hearing about George Orwell's prophetic masterpiece for all of my life, I'm now 37, but never having read the book, I am totally confused",0
143,"This cute animated short features two comic icons - Betty Boop and Henry.Henry is the bald, slightly portly boy from the comics who never speaks.Well",0
144,"I just got back from this free screening, and this ""Osama Witch Project"" is the hands-down worst film I've seen this year, worse than even",0
145,I remember seeing this film in the theater in 1984 when I was 6 years-old (you do the math). I absolutely loved it.,0
146,"A family is traveling through the mid West. There's widower Ben (Charles Bateman), his girlfriend Nicky (Ahna Capri) and Ben's little daughter K.T. (Geri Reischl).",0
147,Francis Ford Coppola wrote and directed this stunningly personal story of a married woman's flight from her husband--and the reality that perhaps the youthful glee,0
148,This movie was not very well directed. they almost totally disregarded the book.I guess they were trying 2 save time.,0
149,"The buzz for this film has always been about the fabulous graphics that make Kevin Bacon disappear. Sadly, they stopped there.",0
150,"A young girl becomes a war-time marine's pen-pal, and when he visits at war's end expecting someone a bit more ""available,"" comic complications ensue.",0
151,This movie is a perfect adaptation of the English Flick Unfaithful.,0
152,"Robert Altman's downbeat, new-fangled western from Edmund Naughton's book ""McCabe"" was overlooked at the time of its release but in the past years has garnered a sterling critical following.",0
153,"What seemed at first just another introverted French flick offering no more than baleful sentiment became for me, on second viewing, a genuinely insightful and",0
154,"I don't think I've ever gave something a 1/10 rating, but this one easily gets the denomination. I find it hard just to sit through one of his jokes.",0
155,"In the standard view, this is a purely awful movie. However, it rates a near perfect score on the unintentional comedy scale.",0
156,"From the film's first shot - Keira Knightley as Elizabeth Bennet wandering reading through a field at dawn, thus invoking all the clichés cinema has",0
157,"I've always enjoyed films that depict life as it is. Life sometimes has boring patches, no real plot, and not necessarily a happy ending.",0
158,The story is very trustworthy and powerful. The technical side of the movie is quite fine.. even the directing of it.,0
159,"This movie was not so much promoted here in Greece,even though it got good actors , great script and rather good photograph was not a",0
160,"MYSTERY MEN has got to be THE stupidest film I've ever seen, but what a film! I thought it was fabulous, excellent and impressive.",0
161,You know that mouthwash commercial where the guy has a mouth full of Listerine or whatever it is and he's trying really hard to keep,0
162,I can't believe it that was the worst movie i have ever seen in my life. i laughed a couple of times.,0
163,"This is one of a rarity of movies, where instead of a bowl of popcorn one should watch it with a bottle of vodka.",0
164,"Even though I'm quite young, The Beatles are my ABSOLUTELY FAVOURITE band! I never had the chance to hear their music as it was releases",0
165,"An American Werewolf in London had some funny parts, but this one isn't so good. The computer werewolves are just awful: the perspective is all",0
166,Originally I was a Tenacious D fan of their first album and naturally listened to a few tracks off The P.O.D. and was rather disappointed.,0
167,This is just one more of those hideous films that you find on Lifetime TV which portray the abhorrent behavior of some disgusting woman in an empathetic manner.,0
168,"The premise of this movie was decent enough, but with sub par acting, it was just bland and dull.SPOILERS The film does not work because",0
169,"The Lives of the Saints starts off with an atmospheric vision of London as a bustling city of busy, quaint streets and sunshine.",0
170,"I can't emphasize it enough, do *NOT* get this movie for the kids.For that matter, you'd best spare the adults from it as well.All right, perhaps I'm overexaggerating a little.",0
171,"Is nothing else on TV? Are you really bored? Well, then watch Phat Beach. However, don't rent it and definitely DO NOT buy it.",0
172,The Elegant Documentary -Don't watch this movie ... if you're an egotistical know-all student of physics.,0
173,"In 1993, with the success of the first season of Batman: The Animated Series, Warner Brothers commissioned the team responsible for the hit-show with producing",0
174,I think this movie was supposed to be shocking. But the only way in which it is indeed shocking is how shocking badly it's been made .,0
175,"Why can't a movie be rated a zero? Or even a negative number? Some movies such as ""Plan Nine From Outer Space"" are so bad they're fun to watch.",0
176,"This movie took me by surprise. The opening credit sequence features nicely done animation. After that, we're plunged into a semi-cheesy production, betraying its low budget.",0
177,"Though I'd heard that ""Cama de Gato"" was the worst Brazilian movie of the decade, I watched it giving it a chance; after all, first-time",0
178,"An unforgettable masterpiece from the creator of The Secret of Nimh and The Land Before Time, this was a very touching bittersweet cartoon.",0
179,This movie was a failure as a comedy and a film in general.,0
180,It is so gratifying to see one great piece of art converted into another without distortion or contrivance.,0
181,"This movie is very violent, yet exciting with original dialog and cool characters. It has one of the most moving stories and is very true to life.",0
182,"The day has finally come for me to witness the perpetuation of Azumi's fate as an assassin, fruition of her character and the ultimate attempt",0
183,This has to be the worst piece of garbage I've seen in a while.Heath Ledger is a heartthrob? He looked deformed.,0
184,"A very ordinary made-for-tv product, ""Tyson"" attempts to be a serious biopic while stretching the moments of angst for effect, fast forwarding through the esoterics",0
185,I'm sure deep in the recesses of Jack Blacks mind the character of Nacho Libre is absolutely hilarious but no it isn't.,0
186,"I haven't read the Anne Rice novel that this movie was based on, but who knows, maybe reading the book is cheaper than renting QUEEN",0
187,"While I count myself as a fan of the Babylon 5 television series, the original movie that introduced the series was a weak start.",0
188,Leonard Maltin gave this film a dreaded BOMB rating in his 1995 Movie and Video Guide. What film was he looking at? Kid Vengeance or God's Gun are bombs.,0
189,I don't believe there has ever been a more evil or wicked television program to air in the United States as The 700 Club.,0
190,"If you wish to see Shakespeare's masterpiece in its entirety, I suggest you find this BBC version.",0
191,The Golden Door is the story of a Sicilian family's journey from the Old World (Italy) to the New World (America).,0
192,"Nifty little episode played mainly for laughs, but with clever dollop of suspense.",0
193,"I had before a feeling of mislike for all Russian films. But, after seeing this film I haven´t.",0
194,I watched mask in the 80's and it's currently showing on Fox Kids in the UK (very late at night).,0
195,"Phantasm ....Class. Phantasm II.....awesome. Phantasm III.....erm.....terrible.Even though i would love to stick up for this film, i quite simply can't. The movie seems to have ""sold out"".",0
196,"Ludicrous. Angelic 9-year-old Annakin turns into whiny brat 19-year-old Annakin, who somehow seems appealing to Amidala, 5 years his senior.",0
197,"Scotty (Grant Cramer, who would go on to star in the great B-movie ""Killer Klowns from outer space"") agrees to help three middle-aged guys learn",0
198,"If you keep rigid historical perspective out of it, this film is actually quite entertaining.",0
199,The film quickly gets to a major chase scene with ever increasing destruction.,0
200,Interesting and short television movie describes some of the machinations surrounding Jay Leno's replacing Carson as host of the Tonight Show.,0
201,"Any film about WWII made during WWII by a British production company has no latter-day peer in my opinion, respectfully.",0
202,"A brilliant horror film. Utterly gruesome and very scary too. The Thing is a remake from John Carpenter, but please, do not let that put you off this film.",0
203,I absolutely love this film. Everything about it. It almost felt like watching me and my friends on screen.,0
204,"No one can say I wasn't warned as I have read the reviews (both user & external), but like most of us attracted to horror movies...",0
205,"A new way to enjoy Goldsworthy's work, Rivers and Tides allows fans to see his work in motion.",0
206,"If you liked William Hickey in ""Prizzi's Honor"", he resurrects his character, as Don Anthony in ""Mob Boss"". This is a very weak ""Godfather"" satire with few laughs.",0
207,"I have seen most, if not all of the Laurel & Hardy classic films. I have always enjoyed there comical stupidly, even after watching it over and over again.",0
208,"I just started watching The Show around July. I found it by mistake, I was channel surfing during a Vacation.",0
209,"This film is well cast, often silly and always funny. Lemmon and Matthau work their tag team magic to perfection.",0
210,"I have just given a 10 for Thieves Highway, I mention this for two reasons one to prove I'm not a git who only gives",0
211,This movie was terrible. The plot was terrible and unbelievable. I cannot recommend this movie.,0
212,"I strongly dislike this show. I mean, like, basically everyone at that school is perfect, and rich, and I doubt a boarding school would look as cool as that.",0
213,Normally I don't like series at all.,0
214,holy Sh*t this was god awful. i sat in the theater for for an hour and ten minutes and i thought i was going to,0
215,This movie is without a doubt a perfect 10/10..,0
216,"I saw this at the London Film Festival last night, apparently the shorter version. James McNally's summary of the content of the film is very good.",0
217,"I can't believe this movie managed to get such a relatively high rating of 6! It is barely watchable and unbelievably boring, certainly one of",0
218,"This movie really woke me up, like it wakes up the main male character of this bravely different movie from his life slumber.This guy John",0
219,Ed Wood rides again. The fact that this movie was made should give any youngaspiring film maker hope.,0
220,"This sports a nice, deep cast but for a thriller you better deliver more than name actors and talk.",0
221,I think this movie has got it all. It has really cool music that I can never get out of my head. It has cool looking characters.,0
222,"Howard (Kevin Kline) teaches English at the high school in a small Indiana city. He is finally getting married to Emily (Joan Cusack), much to his parents delight.",0
223,"When the opening shot is U.S. Marines seriously disrespecting the U.S. flag, a movie has a tough road ahead, but unfortunately it was downhill from there.",0
224,"We usually think of the British as the experts at rendering great adventure from the Imperial age, with the likes of The Four Feathers (1939)",0
225,"I had been looking forward to seeing Dreamgirls for quite a while...what with all it's raving reviews, nominations and media attention.",0
226,One of Starewicz's longest and strangest short films follows a toy dog in search of an orange after becoming animated by the tear of the,0
227,"Nice character development in a pretty cool milieu. Being a male, I'm probably not qualified to totally understand it, but they do a nice job",0
228,"Prussic gas, a murderer donning a red clansman suit and hood wielding a white whip, and the murders of college school girls at the hands",0
229,I was very lucky to see this film as part of the Melbourne International Film Festival 2005 only a few days ago.,0
230,This movie is really bad. Most of it looks like it was filmed either in a park or a basement.,0
231,I think this is one hell of a movie...........We can see Steven fighting around with his martial art stuff again and like in all Segal,0
232,"I saw this movie in the theater, and was thoroughly impressed by it. Then again, that was when Claire Danes was a good actress, not",0
233,I've seen this film literally over 100 times...it's absolutely jam-packed with entertainment!!! Powers Boothe gives a stellar performance.,0
234,"The three main characters are all hopeless, and yet you only feel sorry for one of them: Ernesto, hopelessly devoted to Mercedes.",0
235,Reese Witherspoon first outing on the big screen was a memorable one.,0
236,This game ranks above all so far. I had the honor of playing mine on PS2 so the graphics were really good.,0
237,"This movie is not worth anything. I mean, if you want to watch this kind of stuff, flip to Hollywood movies! This totally is a disgrace to the Bollywood name.",0
238,This is yet another western about a greedy cattle baron looking to push out small ranchers and farmers. It's certainly all been done before and since.,0
239,"Apparently, The Mutilation Man is about a guy who wanders the land performing shows of self-mutilation as a way of coping with his abusive childhood.",0
240,This movie was absolutely pathetic. A pitiful screenplay and lack of any story just left me watching three losers drool over bikini babes.,0
241,"I Feel the Niiiiiight Heat! I feel your HEEAAAAAAAAAART-beat! Something ain't right!"" Theme song written by B.J. Cook from Skylark- David Foster's old band and wife.",0
242,"This movie fails miserably on every level. I have an idea, let's take everyone involved in this movie and ship them into a hot zone in the middle east.",0
243,"Yes i'll say before i start commenting, this movie is incredibly underrated.Sharon Stone is great in her role of Catherine Trammell as is Morrissey as Dr glass.",0
244,"Based on a Edgar Rice Burroughs novel, AT THE EARTH'S CORE provides little more than means to escape and give your brain a rest.",0
245,"I have seen this film at least 100 times and I am still excited by it, the acting is perfect and the romance between Joe",0
246,"This show makes absolutely no sense. Every week, two ladies go to an estate to do some gardening, and every week without fail, they somehow stumble upon a murder.",0
247,"This movie was so bad it was funny! For awhile there I thought I was actually watching a parody of a bad movie (a la ""For Your Consideration"").",0
248,"Meryl Streep is such a genius. Well, at least as an actress. I know she's been made fun of for doing a lot of roles",0
249,'Airport 4' is basically a slopped together mess for Universal Studios to try and work a new twist - the Concorde supersonic airliner - into,0
250,"Supposedly a ""social commentary"" on racism and prison conditions in the rural South of the 1970's, ""Nightmare"" is full of bad Southern stereotypes, complete with phoney accents.",0
251,"OK, I bought this film from Woolworths for my friend for a joke present on his birthday, because the front cover had a sexual innuendo",0
252,"Insignificant and low-brained (haha!) 80's horror like there are thirteen in a dozen, yet it can be considered amusing if you watch it in the right state of mind.",0
253,Does anyone remember the alternative comedy show THE COMIC STRIP PRESENTS .,0
254,"Well, here's another terrific example of awkward 70's film-making! The rudimentary premise of ""What's the matter with Helen?"" is quite shocking and disturbing, but it's",0
255,"Resnais, wow! The genius who brought us Hiroshima Mon Amour takes on the challenge of making a 1930s French musical in vibrant colour.",0
256,"I saw this movie in the middle of the night, when I was flipping through the channels and there was nothing else on to watch.",0
257,"This movie takes the plot behind the sci-fi flick ""Doppelganger"" (an astronaut from our Earth crashing on a 'counter-Earth' on the opposite side of the",0
258,"Black comedy isn't always an easy sell. Every now and then you get a black comedy that is hugely successful, like Fargo, for example.",0
259,"Back in 1994, I had a really lengthy vacation around the Fourth of July - something like 17 days off in a row what with",0
260,Paul Verhoeven's predecessor to his breakout hit 'Basic Instinct' is a stylish and shocking neo-noir thriller.,0
261,"I accept that most 50's horror aren't scary by today's standards, but what the hell is this? When you see a title like this you",0
262,Demon Wind is about as much fun as breaking your legs. It is definitely an awful example of a film.,0
263,"There is a difference between a ""film,"" and a ""movie."" A film, regardless of quality, is ready for public consumption.",0
264,"please re-watch all 3 series and do not go see this movie, the trailer is completely misleading and the 3 weakest characters in the series",0
265,"Finally! An Iranian film that is not made by Majidi, Kiarostami or the Makhmalbafs. This is a non-documentary, an entertaining black comedy with subversive young",0
266,"Sometimes you just have to have patients when watching indie horror. If you can just toe-tap your way through the slow-paced early scenes, sometimes a real gem will present itself...",0
267,"Tainted look at kibbutz lifeThis film is less a cultural story about a boy's life in a kibbutz, but the deliberate demonization of kibbutz life in general.",0
268,(When will I ever learn-?) The ecstatic reviewer on NPR made me think this turkey was another Citizen Kane.,0
269,"""Lost"", ""24"", ""Carnivale"", ""Desperate Housewifes""...the list goes on and on. These, and a bunch of other high-quality, shows proves that we're in the middle of a golden age in television history.",0
270,"Clifton Webb is one of my favorites. However, Mister Scoutmaster is not one of his best. His patented curmudgeon role seems forced and even unpleasant rather than funny.",0
271,This is a must-see documentary movie for anyone who fears that modern youth has lost its taste for real-life adventure and its sense of morality.,0
272,The message of a world on the brink of war is disregarded by the masses; the mythical city of Everytown in 1940 represents England in,0
273,"Fulci... Does this man brings one of the goriest and weirdest movies ever made? Answer: yes! Cat in the Brain, also known as Nightmare Concert is Fulci's last masterpiece.",0
274,What an incomprehensible mess of a movie.,0
275,I love to watch this movie a lot because of all the scary scenes about the raptors. I like raptors because they are scary.,0
